area,brand,name,addr,filter,long,lat,density_2021,ave_pop_growth,2019_income,village_rent,rating,comment
TPE,louisa,松江長安門市,台北市中山區長安東路二段78-1號,中山區朱園里,121.533957,25.048335,16690.778379273743,-0.5000985576377885,2769267.0,2226.0,3.7,231.0
TPE,louisa,復北門市,台北市中山區復興北路380巷8號,中山區江寧里,121.543494,25.060994,39849.56759481466,-1.395183501217382,3332532.0,2591.0,3.8,376.0
TPE,louisa,南京門市,台北市中山區南京東路二段38號,中山區興亞里,121.529445,25.051881,21968.7477809728,0.0314843270238155,2835061.0,3773.0,3.7,476.0
TPE,louisa,民生松江門市,台北市中山區民生東路二段150號,中山區中吉里,121.532445,25.057821,30029.689818910883,-0.4022341195244472,2750941.0,4054.0,3.7,278.0
TPE,louisa,大直門市,台北市中山區北安路621巷49號,中山區大直里,121.546639,25.08302,14193.57851356997,-1.957954611540528,3928563.0,1721.0,3.8,245.0
TPE,louisa,伊通門市,台北市中山區伊通街85號,中山區中央里,121.534899,25.052855,14986.753326120555,-1.4515914528251774,1610149.0,3224.0,3.6,199.0
TPE,louisa,長春門市,台北市中山區長春路7號,中山區中山里,121.523546,25.055067,40836.41319827053,-0.122099768933559,2793229.0,2718.0,4.1,206.0
TPE,louisa,松江農安門市,台北市中山區松江路363號1樓,中山區行政里,121.533458,25.063825,41269.023307441785,-1.436663756832394,2008243.0,1544.0,3.2,186.0
TPE,louisa,撫順門市,台北市中山區撫順街33號,中山區集英里,121.519997,25.063545,20744.09637439897,-0.5990158578695226,2900878.0,2581.0,3.8,191.0
TPE,louisa,微風直營門市,台北市中山區復興南路一段42號,中山區埤頭里,121.543651,25.045309,18172.88568629984,-2.5247991176081896,1403888.0,3744.0,3.8,466.0
TPE,louisa,民權西門市,台北市中山區民權西路3號、5號,中山區集英里,121.52217,25.062974,20744.09637439897,-0.5990158578695226,2900878.0,2581.0,3.9,1230.0
TPE,louisa,晴光門市,台北市中山區雙城街17-6號,中山區晴光里,121.524361,25.065311,49924.21776174035,-0.5847909863359331,2439490.0,2161.0,3.4,384.0
TPE,louisa,金山南門市,台北市中正區金山南路一段8號1樓,中正區幸福里,121.529391,25.042279,19973.064994366418,-1.4101797200920974,2460771.0,2883.0,4.1,409.0
TPE,louisa,信陽直營門市,台北市中正區信陽街5號之2,中正區黎明里,121.5167,25.044699,5734.29678372022,0.5857702086999723,1631191.0,3884.0,3.7,415.0
TPE,louisa,重慶南門市,台北市中正區重慶南路一段77-2號,中正區黎明里,121.513551,25.044006,5734.29678372022,0.5857702086999723,1631191.0,3884.0,4.0,268.0
TPE,louisa,寶慶門市,台北市中正區衡陽路112號,中正區建國里,121.509955,25.04211,2974.320746175957,0.8190784593190928,860317.0,2782.0,3.7,146.0
TPE,louisa,南海直營門市,台北市中正區南海路24號,中正區龍福里,121.516716,25.032416,26014.12965903349,-4.059159656295316,2650936.0,4439.0,3.2,68.0
TPE,louisa,台北站前門市,台北市中正區忠孝西路一段38號B1-B櫃,中正區黎明里,121.516436,25.046215,5734.29678372022,0.5857702086999723,1631191.0,3884.0,3.6,156.0
TPE,louisa,南昌直營門市,台北市中正區南昌路一段123號1樓,中正區南福里,121.518324,25.029879,50312.98643856121,2.2103527210949254,6110280.0,2127.0,3.7,333.0
TPE,louisa,杭州門市,台北市中正區杭州南路一段153號,中正區文祥里,121.524591,25.035858,72693.02961504727,-0.0149651873221282,4468052.0,1960.0,4.0,349.0
TPE,louisa,信義新生門市,台北市中正區新生南路一段130號,中正區梅花里,121.5325,25.036911,6926.62825598684,-1.1404555520498685,1922928.0,4709.0,4.1,293.0
TPE,louisa,新光保險小舖門市,台北市中正區忠孝西路一段50號1樓,中正區黎明里,121.515823,25.046303,5734.29678372022,0.5857702086999723,1631191.0,3884.0,3.7,254.0
TPE,louisa,台大西址門市,台北市中正區常德街1號,中正區黎明里,121.517172,25.041399,5734.29678372022,0.5857702086999723,1631191.0,3884.0,4.1,201.0
TPE,louisa,信義永春門市,台北市信義區松山路562號,信義區松光里,121.578183,25.037362,44306.03221211958,-1.4008870382433258,1907779.0,2312.0,3.6,278.0
TPE,louisa,逸仙門市,台北市信義區逸仙路50巷6號,信義區興隆里,121.562096,25.040557,10281.30490135158,-4.033234982307876,1875517.0,6318.0,3.7,128.0
TPE,louisa,捷運市府門市,台北市信義區忠孝東路五段33號,信義區興雅里,121.565943,25.041308,22399.06076647384,-2.131715641858293,2435957.0,5774.0,3.7,309.0
TPE,louisa,永春概念門市,台北市信義區永吉路326巷50號,信義區五全里,121.575353,25.043866,57843.881877763306,-2.8082986131377536,1858986.0,2677.0,3.6,278.0
TPE,louisa,麟光門市,台北市信義區崇德街101號1樓,信義區黎順里,121.555904,25.024084,20686.3213333314,-1.9972378634456929,1702836.0,2320.0,3.5,53.0
