年,月,排名,隸屬區,里,鄰數,戶數,男,女,合計
110,11,408,永和區,店街里,19,1880,1883,2303,4186
110,11,409,泰山區,貴子里,29,1663,2077,2091,4168
110,11,410,樹林區,三福里,32,1549,2067,2100,4167
110,11,411,永和區,秀林里,20,1683,2014,2152,4166
110,11,412,樹林區,光興里,21,1458,2098,2058,4156
110,11,413,中和區,民生里,30,1758,1998,2153,4151
110,11,414,永和區,民本里,17,1614,1947,2204,4151
110,11,415,三重區,田心里,32,1636,2040,2101,4141
110,11,416,新莊區,民有里,20,1577,1969,2169,4138
110,11,417,板橋區,廣福里,12,1580,2034,2102,4136
110,11,418,樹林區,三多里,21,1465,2111,2024,4135
110,11,419,永和區,民生里,22,1567,1936,2196,4132
110,11,420,林口區,東林里,27,1491,2087,2040,4127
110,11,421,新店區,福民里,25,1863,1929,2194,4123
110,11,422,板橋區,福祿里,19,1647,1946,2168,4114
110,11,423,瑞芳區,爪峯里,14,1609,2009,2104,4113
110,11,424,中和區,福真里,43,1736,2012,2099,4111
110,11,425,淡水區,中興里,18,1743,1993,2114,4107
110,11,426,蘆洲區,保新里　,12,1568,1996,2099,4095
110,11,427,板橋區,幸福里,19,1577,1996,2085,4081
110,11,428,中和區,嘉新里,22,1482,2014,2060,4074
110,11,429,中和區,明德里,28,1558,1994,2078,4072
110,11,430,泰山區,同興里,24,1448,1974,2098,4072
110,11,431,新店區,新安里,25,1947,1859,2206,4065
110,11,432,新店區,達觀里,21,2044,1867,2190,4057
110,11,433,三重區,五順里,35,1516,2003,2049,4052
110,11,434,板橋區,香丘里,14,1549,1928,2122,4050
110,11,435,板橋區,文聖里,17,1447,1968,2080,4048
110,11,436,板橋區,金華里,23,1497,1962,2086,4048
110,11,437,三重區,中興里,37,1662,2041,2001,4042
110,11,438,三重區,清和里,20,1943,1925,2116,4041
110,11,439,板橋區,大安里,24,1535,2057,1980,4037
110,11,440,三重區,五福里,17,1682,1935,2093,4028
110,11,441,五股區,六福里,23,1538,1958,2056,4014
110,11,442,板橋區,居仁里,17,1575,1985,2025,4010
110,11,443,新莊區,立志里,16,1541,1943,2059,4002
110,11,444,土城區,柑林里,21,1591,1902,2100,4002
110,11,445,永和區,雙和里,17,1722,1816,2179,3995
110,11,446,新莊區,昌信里,17,1480,1934,2056,3990
110,11,447,板橋區,公館里,21,1515,1974,2012,3986
110,11,448,五股區,集福里,26,1559,2014,1969,3983
110,11,449,中和區,仁和里,42,1456,1969,2009,3978
110,11,450,永和區,水源里,21,1634,1894,2082,3976
110,11,451,淡水區,幸福里,19,1602,1913,2060,3973
110,11,452,中和區,中正里,34,1556,1913,2052,3965
110,11,453,新莊區,化成里,15,1590,1980,1981,3961
110,11,454,三重區,崇德里,32,1561,1982,1978,3960
110,11,455,板橋區,文翠里,19,1543,1940,2017,3957
110,11,456,樹林區,和平里,28,1418,1958,1999,3957
110,11,457,中和區,漳和里,36,1766,1906,2048,3954
110,11,458,新店區,明德里,27,1805,1881,2065,3946
110,11,459,泰山區,明志里,24,1472,1929,2016,3945
110,11,460,新莊區,富民里,21,1526,1911,2018,3929
110,11,461,中和區,錦盛里,26,1470,1942,1980,3922
110,11,462,蘆洲區,保佑里　,18,1438,1940,1973,3913
110,11,463,永和區,秀朗里,23,1561,1896,1999,3895
110,11,464,新莊區,民全里,17,1384,1924,1962,3886
110,11,465,三重區,重明里,19,1610,1899,1983,3882
110,11,466,新店區,福德里,20,1634,1795,2084,3879
110,11,467,中和區,國光里,39,1507,1895,1970,3865
110,11,468,中和區,景文里,29,1672,1822,2034,3856
110,11,469,新店區,大同里,26,1746,1860,1986,3846
110,11,470,三重區,六合里,25,1525,1913,1928,3841
